profile_key,renewable_level,fossil_level,low_carbon_level,start_date,end_date,is_current
1566,LOW,HIGH,LOW,2026-06-02,,true
1577,LOW,HIGH,LOW,2026-06-02,,true
1579,LOW,HIGH,LOW,2026-06-02,,true
1582,LOW,HIGH,LOW,2026-06-02,,true
1586,LOW,HIGH,LOW,2026-06-02,,true
1588,LOW,LOW,LOW,2026-06-02,,true
1589,LOW,LOW,LOW,2026-06-02,,true
1591,LOW,LOW,LOW,2026-06-02,,true
1597,LOW,LOW,LOW,2026-06-02,,true
1599,LOW,LOW,LOW,2026-06-02,,true
1614,LOW,LOW,LOW,2026-06-02,,true
1616,LOW,LOW,LOW,2026-06-02,,true
1618,LOW,LOW,LOW,2026-06-02,,true
1622,LOW,LOW,LOW,2026-06-02,,true
1623,LOW,LOW,LOW,2026-06-02,,true
1625,LOW,LOW,LOW,2026-06-02,,true
1628,LOW,LOW,LOW,2026-06-02,,true
1629,LOW,LOW,LOW,2026-06-02,,true
1630,LOW,LOW,LOW,2026-06-02,,true
1639,LOW,LOW,LOW,2026-06-02,,true
1641,LOW,LOW,LOW,2026-06-02,,true
1651,LOW,LOW,LOW,2026-06-02,,true
1655,LOW,HIGH,LOW,2026-06-02,,true
1658,LOW,HIGH,LOW,2026-06-02,,true
1660,LOW,HIGH,LOW,2026-06-02,,true
1661,LOW,HIGH,LOW,2026-06-02,,true
1662,LOW,HIGH,LOW,2026-06-02,,true
1665,LOW,HIGH,LOW,2026-06-02,,true
1668,LOW,HIGH,LOW,2026-06-02,,true
1669,LOW,HIGH,LOW,2026-06-02,,true
1672,LOW,HIGH,LOW,2026-06-02,,true
1678,LOW,HIGH,LOW,2026-06-02,,true
1679,LOW,HIGH,LOW,2026-06-02,,true
1687,LOW,HIGH,LOW,2026-06-02,,true
1690,LOW,HIGH,LOW,2026-06-02,,true
1698,LOW,HIGH,LOW,2026-06-02,,true
1703,LOW,HIGH,LOW,2026-06-02,,true
1704,LOW,HIGH,LOW,2026-06-02,,true
1716,LOW,LOW,LOW,2026-06-02,,true
1724,LOW,LOW,LOW,2026-06-02,,true
1725,LOW,LOW,LOW,2026-06-02,,true
1727,LOW,LOW,LOW,2026-06-02,,true
1746,LOW,LOW,LOW,2026-06-02,,true
1753,LOW,LOW,LOW,2026-06-02,,true
1766,LOW,LOW,LOW,2026-06-02,,true
1770,LOW,LOW,LOW,2026-06-02,,true
1774,LOW,LOW,LOW,2026-06-02,,true
1778,LOW,LOW,LOW,2026-06-02,,true
1782,LOW,LOW,LOW,2026-06-02,,true
1783,LOW,LOW,LOW,2026-06-02,,true
1788,LOW,LOW,LOW,2026-06-02,,true
1796,LOW,LOW,LOW,2026-06-02,,true
1797,LOW,LOW,LOW,2026-06-02,,true
1798,LOW,LOW,LOW,2026-06-02,,true
1803,LOW,LOW,LOW,2026-06-02,,true
1805,LOW,LOW,LOW,2026-06-02,,true
1806,LOW,LOW,LOW,2026-06-02,,true
1809,LOW,LOW,LOW,2026-06-02,,true
1811,LOW,LOW,LOW,2026-06-02,,true
1813,LOW,LOW,LOW,2026-06-02,,true
1822,LOW,LOW,LOW,2026-06-02,,true
1824,LOW,LOW,LOW,2026-06-02,,true
1828,LOW,LOW,LOW,2026-06-02,,true
1829,LOW,LOW,LOW,2026-06-02,,true
1833,LOW,LOW,LOW,2026-06-02,,true
1837,LOW,LOW,LOW,2026-06-02,,true
1838,LOW,LOW,LOW,2026-06-02,,true
1842,LOW,LOW,LOW,2026-06-02,,true
1843,LOW,LOW,LOW,2026-06-02,,true
1863,LOW,LOW,LOW,2026-06-02,,true
1864,LOW,LOW,LOW,2026-06-02,,true
1868,LOW,LOW,LOW,2026-06-02,,true
1870,LOW,LOW,LOW,2026-06-02,,true
1871,LOW,LOW,LOW,2026-06-02,,true
1873,LOW,LOW,LOW,2026-06-02,,true
1876,LOW,LOW,LOW,2026-06-02,,true
1884,LOW,LOW,LOW,2026-06-02,,true
1886,LOW,LOW,LOW,2026-06-02,,true
1888,LOW,LOW,LOW,2026-06-02,,true
1891,LOW,LOW,LOW,2026-06-02,,true
1892,LOW,LOW,LOW,2026-06-02,,true
1893,LOW,LOW,LOW,2026-06-02,,true
1898,LOW,LOW,LOW,2026-06-02,,true
1902,LOW,LOW,LOW,2026-06-02,,true
1908,LOW,LOW,LOW,2026-06-02,,true
1914,LOW,LOW,LOW,2026-06-02,,true
1916,LOW,LOW,LOW,2026-06-02,,true
1920,LOW,LOW,LOW,2026-06-02,,true
1921,LOW,LOW,LOW,2026-06-02,,true
1931,LOW,LOW,LOW,2026-06-02,,true
1932,LOW,LOW,LOW,2026-06-02,,true
1933,LOW,LOW,LOW,2026-06-02,,true
1938,LOW,LOW,LOW,2026-06-02,,true
1939,LOW,LOW,LOW,2026-06-02,,true
1940,LOW,LOW,LOW,2026-06-02,,true
1945,LOW,LOW,LOW,2026-06-02,,true
1948,LOW,LOW,LOW,2026-06-02,,true
1955,LOW,LOW,LOW,2026-06-02,,true
1967,LOW,LOW,LOW,2026-06-02,,true
1976,LOW,LOW,LOW,2026-06-02,,true
1980,LOW,LOW,LOW,2026-06-02,,true
1982,LOW,LOW,LOW,2026-06-02,,true
1983,LOW,LOW,LOW,2026-06-02,,true
1985,LOW,LOW,LOW,2026-06-02,,true
1996,LOW,LOW,LOW,2026-06-02,,true
1999,LOW,LOW,LOW,2026-06-02,,true
2005,LOW,LOW,LOW,2026-06-02,,true
2009,LOW,LOW,LOW,2026-06-02,,true
2015,LOW,LOW,LOW,2026-06-02,,true
2017,LOW,LOW,LOW,2026-06-02,,true
2019,LOW,LOW,LOW,2026-06-02,,true
2021,LOW,LOW,LOW,2026-06-02,,true
2025,LOW,LOW,LOW,2026-06-02,,true
2029,LOW,LOW,LOW,2026-06-02,,true
2031,LOW,LOW,LOW,2026-06-02,,true
2034,LOW,LOW,LOW,2026-06-02,,true
2040,LOW,LOW,LOW,2026-06-02,,true
2051,LOW,LOW,LOW,2026-06-02,,true
2056,LOW,LOW,LOW,2026-06-02,,true
2057,LOW,LOW,LOW,2026-06-02,,true
2060,LOW,LOW,LOW,2026-06-02,,true
2061,LOW,LOW,LOW,2026-06-02,,true
2063,LOW,LOW,LOW,2026-06-02,,true
2068,LOW,LOW,LOW,2026-06-02,,true
2073,LOW,LOW,LOW,2026-06-02,,true
2079,LOW,LOW,LOW,2026-06-02,,true
2103,LOW,LOW,LOW,2026-06-02,,true
2114,LOW,LOW,LOW,2026-06-02,,true
2122,LOW,LOW,LOW,2026-06-02,,true
2123,LOW,LOW,LOW,2026-06-02,,true
2124,LOW,LOW,LOW,2026-06-02,,true
2125,LOW,LOW,LOW,2026-06-02,,true
2126,LOW,LOW,LOW,2026-06-02,,true
2127,LOW,LOW,LOW,2026-06-02,,true
2128,LOW,LOW,LOW,2026-06-02,,true
2130,LOW,LOW,LOW,2026-06-02,,true
2131,LOW,LOW,LOW,2026-06-02,,true
2135,LOW,LOW,LOW,2026-06-02,,true
2151,LOW,LOW,LOW,2026-06-02,,true
2153,LOW,LOW,LOW,2026-06-02,,true
